model,domain,setting,target,n,samples,seed,macro_f1,accuracy,f1_positive,f1_negative,f1_neutral
mt5,phone,s2,zh,200,200,123,0.5934,0.7382,0.839,0.5531,0.3881
xlmr,restaurant,s2,zh,50,50,42,0.7114,0.82,0.8645,0.8696,0.4
ag_can,restaurant,s2,zh,200,200,42,0.5814,0.72,0.8394,0.5714,0.3333
xlmr,phone,s2,zh,50,50,456,0.7266,0.8596,0.9203,0.7697,0.4898
ag_can,restaurant,s2,de,100,100,456,0.536,0.6505,0.7657,0.5763,0.2661
xlmr,restaurant,s2,zh,50,50,456,0.7385,0.86,0.9222,0.8932,0.4
ag_can,phone,s2,vi,200,200,123,0.6178,0.7736,0.8543,0.6596,0.3394
mt5,phone,s2,de,100,100,123,0.6308,0.7904,0.871,0.6567,0.3648
ag_can,restaurant,s2,zh,200,200,456,0.4945,0.6867,0.7917,0.6917,0
mt5,restaurant,s2,de,50,50,456,0.5976,0.7291,0.835,0.6111,0.3467
xlmr,phone,s2,de,100,100,456,0.7171,0.8606,0.918,0.7706,0.4628
mt5,restaurant,s2,vi,200,200,123,0.5612,0.7074,0.8271,0.563,0.2935
xlmr,restaurant,s2,vi,200,200,456,0.7169,0.8461,0.9056,0.8098,0.4355
mt5,phone,s2,de,50,50,42,0.5999,0.7698,0.8598,0.6629,0.2769
ag_can,restaurant,s2,de,200,200,456,0.5444,0.6754,0.7741,0.614,0.2452
ag_can,phone,s2,vi,50,50,456,0.5341,0.6653,0.7595,0.5474,0.2953
xlmr,phone,s2,vi,50,50,456,0.6983,0.8653,0.9226,0.7725,0.4
mt5,phone,s2,de,100,100,42,0.5609,0.7236,0.8325,0.6141,0.2362
ag_can,restaurant,s2,vi,200,200,42,0.5201,0.6718,0.7771,0.5769,0.2063
mt5,phone,s2,zh,100,100,123,0.5518,0.6721,0.776,0.592,0.2874
xlmr,restaurant,s2,vi,50,50,456,0.7412,0.8639,0.9208,0.8113,0.4915
xlmr,restaurant,s2,zh,200,200,42,0.7464,0.8533,0.8953,0.8824,0.4615
ag_can,restaurant,s2,zh,50,50,456,0.5387,0.7133,0.8267,0.7154,0.0741
xlmr,phone,s2,zh,200,200,42,0.7348,0.8475,0.9098,0.7707,0.5238
xlmr,phone,s2,zh,100,100,456,0.731,0.8435,0.9011,0.7558,0.5361
mt5,phone,s2,de,50,50,123,0.6243,0.8078,0.8872,0.6429,0.3429
ag_can,phone,s2,zh,200,200,42,0.5364,0.6451,0.747,0.5355,0.3265
xlmr,restaurant,s2,vi,100,100,456,0.7278,0.855,0.913,0.8128,0.4576
mt5,restaurant,s2,vi,50,50,42,0.5829,0.7761,0.8752,0.5938,0.2796
mt5,restaurant,s2,de,200,200,42,0.6057,0.7474,0.8457,0.6382,0.3333
xlmr,phone,s2,de,200,200,456,0.7148,0.8721,0.9283,0.8047,0.4113
mt5,restaurant,s2,vi,100,100,123,0.4954,0.6323,0.7756,0.5014,0.2091
ag_can,restaurant,s2,zh,100,100,456,0.5474,0.7333,0.8415,0.7207,0.08
mt5,phone,s2,de,200,200,123,0.615,0.7962,0.8784,0.6439,0.3226
ag_can,phone,s2,vi,100,100,123,0.5645,0.7215,0.8177,0.609,0.2667
ag_can,phone,s2,de,50,50,42,0.5777,0.7376,0.8372,0.6182,0.2778
xlmr,restaurant,s2,vi,50,50,123,0.7117,0.8575,0.9236,0.7978,0.4138
mt5,phone,s2,zh,100,100,456,0.6278,0.78,0.8686,0.556,0.4587
xlmr,phone,s2,vi,50,50,123,0.6998,0.8645,0.9204,0.7892,0.3898
ag_can,restaurant,s2,de,200,200,123,0.567,0.6937,0.7849,0.5974,0.3186
ag_can,restaurant,s2,zh,100,100,42,0.568,0.76,0.8608,0.7563,0.087
ag_can,phone,s2,vi,50,50,123,0.5733,0.724,0.8161,0.6346,0.2692
ag_can,restaurant,s2,zh,50,50,42,0.5174,0.5867,0.7692,0.4857,0.2973
mt5,phone,s2,de,50,50,456,0.6031,0.7393,0.8252,0.6,0.384
xlmr,phone,s2,vi,100,100,42,0.6869,0.8463,0.9113,0.7726,0.3766
ag_can,restaurant,s2,zh,50,50,123,0.5032,0.7267,0.8323,0.6774,0
ag_can,phone,s2,vi,100,100,42,0.5645,0.7289,0.8245,0.6331,0.2358
xlmr,phone,s2,zh,100,100,123,0.6896,0.8124,0.8847,0.7115,0.4727
xlmr,restaurant,s2,vi,100,100,42,0.7287,0.8499,0.9089,0.8245,0.4526
xlmr,phone,s2,de,200,200,123,0.7113,0.8647,0.9211,0.7919,0.4211
mt5,restaurant,s2,vi,100,100,456,0.5699,0.7061,0.8019,0.5888,0.3188
mt5,restaurant,s2,de,50,50,42,0.5701,0.712,0.8382,0.5593,0.3128
xlmr,restaurant,s2,vi,100,100,123,0.6892,0.8053,0.8744,0.8118,0.3815
ag_can,phone,s2,vi,50,50,42,0.5178,0.6347,0.7218,0.5419,0.2897
mt5,phone,s2,de,200,200,456,0.5509,0.7096,0.8122,0.6259,0.2146
ag_can,phone,s2,vi,100,100,456,0.5801,0.7645,0.8594,0.5701,0.3109
ag_can,restaurant,s2,zh,100,100,123,0.5835,0.7867,0.8929,0.7706,0.087
mt5,restaurant,s2,de,100,100,456,0.6168,0.7723,0.8748,0.64,0.3356
xlmr,phone,s2,vi,200,200,123,0.6547,0.819,0.8927,0.7614,0.3102
xlmr,restaurant,s2,de,100,100,123,0.7262,0.8626,0.9287,0.729,0.5208
mt5,phone,s2,vi,50,50,123,0.539,0.7116,0.8206,0.578,0.2183
ag_can,phone,s2,de,100,100,456,0.5859,0.7162,0.8013,0.6012,0.3553
ag_can,restaurant,s2,de,200,200,42,0.6481,0.7893,0.8674,0.6589,0.4179
mt5,phone,s2,vi,100,100,42,0.5546,0.7,0.8027,0.5548,0.3062
mt5,phone,s2,vi,200,200,456,0.5229,0.6529,0.7568,0.6151,0.1967
xlmr,phone,s2,de,50,50,456,0.7314,0.8837,0.9317,0.7977,0.4646
ag_can,phone,s2,de,50,50,456,0.5824,0.7294,0.8205,0.6072,0.3195
xlmr,restaurant,s2,de,50,50,456,0.7385,0.8534,0.9148,0.7735,0.5273
xlmr,restaurant,s2,de,50,50,42,0.7176,0.856,0.9215,0.7712,0.4602
ag_can,phone,s2,zh,200,200,456,0.5187,0.6275,0.7289,0.53,0.2973
ag_can,restaurant,s2,vi,200,200,123,0.5335,0.6641,0.7777,0.5729,0.25
mt5,restaurant,s2,zh,50,50,456,0.5648,0.74,0.8539,0.6667,0.1739
mt5,restaurant,s2,vi,200,200,42,0.5347,0.6908,0.8436,0.5374,0.2231
mt5,phone,s2,zh,50,50,42,0.5729,0.7085,0.8021,0.5951,0.3214
mt5,restaurant,s2,zh,200,200,456,0.6377,0.7867,0.881,0.7321,0.3
xlmr,phone,s2,vi,50,50,42,0.7029,0.8554,0.9114,0.7763,0.4211
xlmr,restaurant,s2,zh,200,200,123,0.7184,0.84,0.8902,0.8649,0.4
ag_can,phone,s2,de,100,100,42,0.5881,0.7566,0.856,0.604,0.3043
xlmr,phone,s2,de,100,100,42,0.6797,0.8383,0.9056,0.7698,0.3636
xlmr,restaurant,s2,de,100,100,456,0.757,0.8757,0.9333,0.7831,0.5545
mt5,phone,s2,vi,50,50,456,0.5361,0.6876,0.7929,0.5298,0.2857
mt5,restaurant,s2,de,100,100,123,0.605,0.7618,0.8716,0.6144,0.3291
xlmr,restaurant,s2,de,100,100,42,0.7122,0.8626,0.9238,0.7824,0.4304
xlmr,phone,s2,vi,200,200,456,0.6667,0.8331,0.9006,0.764,0.3355
xlmr,restaurant,s2,vi,50,50,42,0.7025,0.8372,0.9035,0.8098,0.3942
xlmr,restaurant,s2,de,50,50,123,0.7439,0.8626,0.9278,0.766,0.5378
ag_can,phone,s2,de,50,50,123,0.5649,0.7368,0.8333,0.6318,0.2297
mt5,phone,s2,zh,200,200,42,0.4879,0.5857,0.6911,0.5482,0.2243
ag_can,phone,s2,de,100,100,123,0.6341,0.8069,0.8859,0.6318,0.3846
mt5,phone,s2,vi,200,200,123,0.5615,0.7198,0.8166,0.6248,0.2432
xlmr,phone,s2,de,50,50,123,0.7114,0.8688,0.9218,0.795,0.4174
mt5,restaurant,s2,zh,50,50,123,0.6048,0.7467,0.8344,0.7193,0.2609
ag_can,restaurant,s2,vi,200,200,456,0.5242,0.6565,0.7702,0.5409,0.2614
ag_can,phone,s2,zh,200,200,123,0.5225,0.6167,0.7096,0.5137,0.3443
xlmr,restaurant,s2,zh,200,200,456,0.7577,0.86,0.9167,0.8738,0.4828
mt5,restaurant,s2,zh,100,100,42,0.5972,0.7133,0.8757,0.6047,0.3111
mt5,restaurant,s2,zh,200,200,123,0.6348,0.72,0.8679,0.6591,0.3774
xlmr,phone,s2,de,50,50,42,0.7033,0.8614,0.9194,0.7874,0.403
mt5,restaurant,s3,de,0,0,456,0.6856,0.8455,0.9072,0.7012,0.4483
mt5,restaurant,s3,vi,0,0,123,0.6434,0.8181,0.8946,0.6494,0.3864
ag_can,phone,s3,de,0,0,123,0.6522,0.8168,0.8871,0.6842,0.3853
ag_can,phone,s3,vi,0,0,456,0.6344,0.814,0.8888,0.6865,0.3281
ag_can,restaurant,s3,zh,0,0,456,0.5337,0.7,0.8267,0.7119,0.0625
mt5,phone,s3,de,0,0,42,0.6735,0.8218,0.8885,0.702,0.4299
mt5,restaurant,s3,vi,0,0,456,0.6266,0.8079,0.8823,0.6467,0.3509
mt5,restaurant,s3,de,0,0,123,0.658,0.7932,0.8694,0.6697,0.4348
ag_can,phone,s3,vi,0,0,123,0.6366,0.7992,0.8731,0.6701,0.3667
ag_can,phone,s3,de,0,0,456,0.6618,0.8292,0.8989,0.6758,0.4107
mt5,restaurant,s3,zh,0,0,42,0.6064,0.7533,0.8485,0.7207,0.25
mt5,restaurant,s3,de,0,0,42,0.6407,0.8285,0.8991,0.6625,0.3607
ag_can,restaurant,s3,zh,0,0,123,0.5319,0.76,0.8786,0.717,0
xlmr,restaurant,s3,vi,0,0,42,0.7068,0.8677,0.9275,0.8239,0.3689
mt5,phone,s3,zh,0,0,42,0.6473,0.8043,0.8805,0.6429,0.4186
ag_can,phone,s3,de,0,0,42,0.6332,0.821,0.8985,0.6302,0.371
xlmr,phone,s3,vi,0,0,123,0.7162,0.8851,0.9326,0.82,0.396
xlmr,phone,s3,de,0,0,456,0.7387,0.8861,0.9362,0.8092,0.4706
mt5,phone,s3,zh,0,0,123,0.6286,0.8016,0.8853,0.5793,0.4211
ag_can,phone,s3,zh,0,0,42,0.6255,0.78,0.868,0.5933,0.4151
xlmr,restaurant,s3,de,0,0,123,0.7043,0.8704,0.9298,0.8111,0.3721
xlmr,restaurant,s3,vi,0,0,456,0.7109,0.888,0.9436,0.8255,0.3636
ag_can,restaurant,s3,vi,0,0,42,0.614,0.7799,0.8674,0.6783,0.2963
xlmr,phone,s3,de,0,0,123,0.7242,0.8927,0.9396,0.833,0.4
mt5,phone,s3,zh,0,0,456,0.625,0.7679,0.8546,0.6203,0.4
xlmr,phone,s3,vi,0,0,456,0.7015,0.8769,0.9301,0.7817,0.3925
xlmr,phone,s3,de,0,0,42,0.6971,0.8795,0.9333,0.806,0.3519
xlmr,phone,s3,zh,0,0,42,0.7158,0.8489,0.912,0.7412,0.4941
xlmr,restaurant,s3,vi,0,0,123,0.7467,0.888,0.943,0.8179,0.4792
xlmr,restaurant,s3,de,0,0,456,0.7411,0.8927,0.9404,0.8384,0.4444
mt5,restaurant,s3,zh,0,0,123,0.6369,0.76,0.8485,0.7143,0.3478
xlmr,phone,s3,vi,0,0,42,0.7031,0.8653,0.9179,0.8135,0.378
ag_can,restaurant,s3,de,0,0,42,0.5905,0.7579,0.8465,0.6316,0.2933
ag_can,phone,s3,zh,0,0,456,0.6541,0.7935,0.8728,0.6358,0.4536
ag_can,restaurant,s3,de,0,0,123,0.6237,0.7762,0.8614,0.6732,0.3366
ag_can,restaurant,s3,vi,0,0,456,0.58,0.7608,0.8579,0.6141,0.2679
ag_can,restaurant,s3,zh,0,0,42,0.6776,0.7733,0.8671,0.7333,0.4324
mt5,restaurant,s3,zh,0,0,456,0.5012,0.72,0.8313,0.6724,0
ag_can,phone,s3,zh,0,0,123,0.6417,0.7773,0.858,0.6343,0.433
ag_can,phone,s3,vi,0,0,42,0.659,0.8223,0.8939,0.6692,0.4138
ag_can,restaurant,s3,vi,0,0,123,0.614,0.785,0.8727,0.6523,0.3168
ag_can,restaurant,s3,de,0,0,456,0.6154,0.8141,0.8916,0.7047,0.25
xlmr,phone,s3,zh,0,0,123,0.7529,0.8718,0.9251,0.7781,0.5556
mt5,phone,s3,de,0,0,456,0.655,0.8168,0.8854,0.6884,0.3913
xlmr,restaurant,s3,zh,0,0,42,0.7308,0.84,0.9012,0.8468,0.4444
mt5,phone,s3,vi,0,0,42,0.646,0.8132,0.887,0.675,0.3761
mt5,phone,s3,vi,0,0,123,0.6219,0.7843,0.8666,0.6109,0.3883
xlmr,restaurant,s3,de,0,0,42,0.7215,0.8809,0.9361,0.8117,0.4167
mt5,restaurant,s3,vi,0,0,42,0.6887,0.8511,0.9105,0.7493,0.4062
xlmr,restaurant,s3,zh,0,0,456,0.6742,0.7933,0.8944,0.8039,0.3243
mt5,phone,s3,vi,0,0,456,0.6164,0.7835,0.862,0.6316,0.3556
xlmr,phone,s3,zh,0,0,456,0.7344,0.865,0.9229,0.7803,0.5
mt5,phone,s3,de,0,0,123,0.658,0.8053,0.8756,0.681,0.4174
xlmr,restaurant,s3,zh,0,0,123,0.7444,0.8467,0.8987,0.8829,0.4516
mt5,phone,s1,vi,0,0,42,0.5082,0.6579,0.7715,0.5569,0.1962
xlmr,restaurant,s1,zh,0,0,42,0.7318,0.82,0.8772,0.8333,0.4848
xlmr,restaurant,s1,de,0,0,42,0.7014,0.8403,0.9076,0.7394,0.4571
mt5,restaurant,s1,vi,0,0,42,0.4877,0.7583,0.8473,0.6157,0
ag_can,phone,s1,vi,0,0,42,0.5266,0.6529,0.7444,0.5546,0.2809
xlmr,phone,s1,vi,0,0,42,0.6917,0.8562,0.9138,0.7862,0.375
ag_can,restaurant,s1,de,0,0,42,0.5218,0.6819,0.7767,0.6207,0.1681
ag_can,restaurant,s1,zh,0,0,42,0.4996,0.6533,0.7429,0.687,0.069
ag_can,restaurant,s1,vi,0,0,42,0.4573,0.6349,0.7404,0.5465,0.0851
xlmr,phone,s1,de,0,0,42,0.6968,0.863,0.9197,0.7926,0.378
xlmr,phone,s1,zh,0,0,42,0.7295,0.8475,0.9058,0.7478,0.5349
ag_can,phone,s1,de,0,0,42,0.6025,0.7558,0.8446,0.6221,0.3409
ag_can,phone,s1,zh,0,0,42,0.5031,0.5816,0.6682,0.4881,0.3529
mt5,phone,s1,de,0,0,42,0.6257,0.8061,0.8842,0.6692,0.3235
mt5,restaurant,s1,zh,0,0,42,0.5225,0.72,0.8125,0.6374,0.1176
mt5,restaurant,s1,de,0,0,42,0.6082,0.8063,0.8901,0.6488,0.2857
mt5,phone,s1,zh,0,0,42,0.5891,0.7328,0.8282,0.6082,0.3308
xlmr,restaurant,s1,vi,0,0,42,0.7281,0.8562,0.9168,0.772,0.4956
